,County_Name,Civilian employed population 16 years and over_2010,"Agriculture, forestry, fishing and hunting, and mining_2010",Construction_2010,Manufacturing_2010,Wholesale trade_2010,Retail trade_2010,"Transportation and warehousing, and utilities_2010",Information_2010,"Finance and insurance, and real estate and rental and leasing_2010","Professional, scientific, and management, and administrative and waste management services_2010","Educational services, and health care and social assistance_2010","Arts, entertainment, and recreation, and accommodation and food services_2010","Other services, except public administration_2010",Public administration_2010,Industry_2010,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2019,Civilian employed population 16 years and over_2019,"Agriculture, forestry, fishing and hunting, and mining_2019",Construction_2019,Manufacturing_2019,Wholesale trade_2019,Retail trade_2019,"Transportation and warehousing, and utilities_2019",Information_2019,"Finance and insurance, and real estate and rental and leasing_2019","Professional, scientific, and management, and administrative and waste management services_2019","Educational services, and health care and social assistance_2019","Arts, entertainment, and recreation, and accommodation and food services_2019","Other services, except public administration_2019",Public administration_2019,Industry_2015,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
230,"Cecil County, Maryland","48,061",496,"3,989","5,509","1,005","5,847","2,837",634,"2,274","3,716","11,599","3,943","2,160","4,052",3.30%,"50,609",648,"4,294","4,938",918,"6,733","3,149",960,"3,719","4,760","11,748","4,237","1,743","2,762",7.60%,"51,468",792,"5,209","3,542","1,710","3,915","2,852",572,"4,069","6,214","10,440","5,023","2,517","4,613",18.60%,39.0,44.0,44.0
231,"Charles County, Maryland","72,817",97,"5,693","2,066",813,"6,835","3,979","1,309","3,408","11,771","12,085","4,878","4,355","15,528",5.80%,"79,406",536,"7,952","2,406","1,044","8,186","3,339","1,806","3,246","11,743","16,052","6,136","3,808","13,152",21.70%,"84,381",219,"7,260","3,623","1,147","8,067","6,924","1,245","3,195","11,356","16,078","5,855","3,100","16,312",14.70%,40.0,44.0,47.0
232,"Frederick County, Maryland","122,171",766,"10,370","7,113","3,405","10,202","4,240","3,225","10,329","21,366","25,428","7,598","5,460","12,669",4.80%,"131,344","1,508","11,532","7,512","3,722","12,836","4,752","2,938","10,077","19,443","30,420","9,474","6,596","10,534",8.70%,"141,025","1,811","13,955","5,969","2,836","14,167","4,032","2,404","9,613","24,796","31,255","10,850","7,580","11,757",10.90%,44.0,44.0,49.0
233,"Harford County, Maryland","122,596",644,"9,367","10,255","3,628","14,900","4,757","2,843","7,954","15,289","29,082","5,830","4,790","13,257",6.70%,"125,798",577,"9,708","7,522","4,282","16,635","5,424","1,986","9,668","14,239","30,247","8,453","5,891","11,166",11.30%,"133,372",114,"9,085","9,098","2,439","14,621","6,189","1,604","9,035","18,419","29,101","11,129","6,726","15,812",14.40%,44.0,43.0,49.0
234,"Montgomery County, Maryland","523,864",999,"30,963","15,790","6,021","41,531","10,476","16,346","32,943","111,816","114,768","45,371","36,984","59,856",5.20%,"555,886","1,102","32,205","16,643","6,549","43,844","16,046","14,325","34,517","125,133","118,328","50,278","36,551","60,365",10.40%,"564,801","1,520","38,519","17,567","4,969","44,756","15,035","10,664","29,852","124,495","123,147","47,325","43,137","63,815",12.90%,39.0,45.0,47.0
235,"Prince George's County, Maryland","447,846","1,042","33,692","12,940","4,560","37,601","24,149","9,807","22,175","68,340","98,554","38,259","28,016","68,711",8.60%,"481,178",737,"39,190","8,099","5,951","43,690","29,603","9,060","22,169","76,522","107,093","46,487","28,882","63,695",14.00%,"481,645","1,039","47,410","9,079","5,134","41,080","32,578","8,211","21,232","73,167","102,584","46,854","30,898","62,379",14.10%,43.0,50.0,50.0
236,"Washington County, Maryland","68,703",641,"5,515","7,426","2,090","8,608","3,417","1,447","6,019","7,760","15,061","4,125","2,203","4,391",3.20%,"67,216",98,"5,632","6,373","1,577","8,272","5,053","1,315","3,605","7,021","13,125","5,598","2,642","6,905",9.40%,"69,495",822,"6,055","4,910","2,457","9,075","6,594","1,021","3,718","8,228","14,623","4,470","2,947","4,575",10.70%,40.0,44.0,49.0
237,"Barnstable County, Massachusetts","96,547",850,"8,302","4,397","1,499","12,100","3,833","1,657","6,388","12,994","23,220","10,434","5,918","4,955",7.90%,"104,949","1,470","9,439","4,019","1,804","16,724","3,945","1,414","6,609","12,992","21,877","11,447","7,702","5,507",10.50%,"108,192",424,"10,572","3,954","2,350","14,500","4,176","2,220","7,128","14,373","25,542","11,299","5,838","5,816",12.10%,36.0,34.0,39.0
238,"Berkshire County, Massachusetts","61,667",400,"4,039","5,883","1,273","7,547","1,832","1,351","2,722","5,408","18,727","7,537","2,604","2,344",2.30%,"63,926",470,"4,632","5,108",975,"7,539","1,700","1,673","3,469","6,643","18,884","7,025","3,796","2,012",10.40%,"64,358",449,"3,597","4,992","1,358","8,416","2,125","1,647","2,688","7,156","21,208","5,788","2,941","1,993",16.00%,37.0,34.0,37.0
239,"Bristol County, Massachusetts","255,481",944,"18,037","26,588","10,988","35,247","10,316","4,415","15,246","22,926","67,287","21,234","12,292","9,961",5.20%,"277,429","1,466","20,444","32,340","9,710","36,608","9,840","4,684","15,291","22,601","74,625","27,385","11,222","11,213",11.60%,"287,269","1,773","25,102","28,505","7,871","38,652","14,314","4,300","16,523","27,813","77,209","22,864","11,484","10,859",13.80%,40.0,37.0,39.0
240,"Essex County, Massachusetts","364,731","1,856","16,764","40,285","9,575","42,144","14,922","10,194","26,697","45,013","95,513","32,267","15,716","13,785",6.40%,"397,040",766,"21,995","40,313","9,951","41,958","14,093","9,514","25,932","53,476","103,669","39,131","21,274","14,968",10.70%,"418,763","1,591","23,716","44,302","7,920","45,340","20,674","10,983","29,286","61,697","103,012","38,839","15,157","16,246",13.70%,37.0,37.0,40.0
241,"Hampden County, Massachusetts","199,800","1,214","10,321","25,245","5,141","22,886","10,122","4,545","13,515","14,123","57,321","15,840","9,837","9,690",6.00%,"219,197","1,486","9,393","24,986","6,481","28,541","10,811","4,176","17,102","16,976","63,604","18,485","7,778","9,378",11.70%,"226,043","1,629","10,622","25,241","6,543","24,564","13,853","2,529","14,677","14,937","70,303","20,089","11,128","9,928",13.70%,39.0,39.0,42.0
242,"Hampshire County, Massachusetts","79,275",324,"3,576","7,263",617,"9,411","2,504","1,244","3,723","5,814","32,894","5,582","2,581","3,742",7.10%,"85,358",833,"1,974","4,675","1,795","9,798","2,941","1,825","4,163","6,179","37,429","7,534","3,198","3,014",15.50%,"83,845",877,"3,934","6,753",859,"8,016","1,909","1,879","4,032","6,188","34,699","7,049","3,577","4,073",15.20%,38.0,36.0,38.0
243,"Middlesex County, Massachusetts","789,816","2,295","37,534","69,860","16,696","73,318","22,669","26,612","56,665","143,440","220,500","55,775","35,091","29,361",7.00%,"864,950","1,479","43,856","86,043","15,184","70,387","23,082","28,804","61,549","154,613","245,858","69,541","37,252","27,302",12.20%,"905,724","2,353","46,388","87,490","15,226","73,908","33,449","25,808","62,830","183,712","247,563","63,829","35,688","27,480",15.40%,37.0,33.0,35.0
244,"Norfolk County, Massachusetts","340,104",262,"16,370","24,118","7,921","38,855","11,599","9,177","37,195","49,794","95,399","22,591","14,304","12,519",6.80%,"370,381",598,"19,160","25,546","7,170","38,030","14,122","9,445","40,848","56,469","105,673","27,923","13,601","11,796",12.40%,"387,426",856,"22,433","23,063","8,946","33,743","14,226","10,641","40,486","59,897","106,864","35,810","16,474","13,987",14.30%,34.0,37.0,36.0
245,"Plymouth County, Massachusetts","238,446","1,135","16,692","17,572","7,790","30,781","9,623","4,894","21,972","24,107","61,657","19,147","10,219","12,857",5.90%,"256,734","1,155","16,947","18,583","7,664","31,949","14,409","5,039","21,834","30,460","61,991","24,625","11,623","10,455",12.30%,"271,697","2,140","20,527","17,318","7,535","36,188","14,557","4,457","22,442","30,622","67,136","23,108","12,905","12,762",15.80%,37.0,36.0,30.0
246,"Suffolk County, Massachusetts","364,771",566,"15,045","18,708","8,183","31,148","12,792","10,944","33,988","52,496","102,567","44,532","16,983","16,819",9.90%,"423,556",818,"17,209","19,087","8,014","38,493","17,839","9,923","33,927","66,971","128,588","47,551","18,644","16,492",14.40%,"465,571",788,"17,072","21,466","6,427","38,744","20,631","10,026","35,788","83,723","139,201","52,934","20,601","18,170",19.80%,38.0,43.0,46.0
247,"Worcester County, Massachusetts","381,625","2,179","19,506","56,328","10,060","41,093","15,674","7,357","23,046","39,442","105,852","27,658","16,615","16,815",6.20%,"407,572","1,780","21,859","51,742","10,245","49,774","14,331","7,326","26,091","43,403","114,039","35,158","17,877","13,947",10.50%,"431,073","1,688","29,808","52,007","11,229","49,541","20,455","7,317","22,659","47,622","122,111","34,378","18,583","13,675",11.30%,40.0,37.0,43.0
248,"Allegan County, Michigan","48,467","1,462","3,837","10,586","2,402","6,656","2,085",174,"1,757","3,143","8,752","4,049","2,271","1,293",9.80%,"53,267","1,518","4,468","15,141","1,316","6,198","1,779",487,"1,740","3,799","8,721","4,291","2,368","1,441",9.50%,"56,551","1,944","4,021","13,650","2,220","5,885","2,231",146,"2,093","3,804","10,534","6,048","3,011",964,8.30%,38.0,41.0,42.0
249,"Bay County, Michigan","47,467",368,"2,711","5,628","1,775","7,430","2,275",740,"2,072","3,721","12,717","3,462","2,448","2,120",5.30%,"47,249",430,"3,089","6,775","1,401","7,226","2,125",814,"2,128","3,201","11,915","4,599","2,519","1,027",11.10%,"48,131",497,"2,696","8,164","1,235","5,555","3,067",941,"2,019","3,289","12,373","4,130","2,706","1,459",13.60%,26.0,33.0,25.0
250,"Berrien County, Michigan","66,786","1,598","2,817","12,621","1,217","8,155","4,350",866,"2,673","4,608","16,464","6,235","3,532","1,650",5.30%,"70,514",676,"3,694","14,496","1,555","8,356","3,522","1,059","3,380","5,190","16,192","7,912","3,035","1,447",9.70%,"69,777","1,112","4,790","13,281","1,568","6,866","3,801","1,111","2,559","5,549","16,034","7,215","4,152","1,739",17.10%,39.0,42.0,44.0
251,"Clinton County, Michigan","35,183","1,199","1,369","3,372","1,033","2,756","2,186",230,"2,907","1,871","9,566","2,562","2,728","3,404",4.30%,"37,811","1,194","2,158","4,228",686,"4,032","1,062",301,"3,487","4,094","9,178","3,180","1,096","3,115",5.90%,"39,975","1,081","2,509","4,207","1,583","4,025","1,392",247,"2,777","3,030","10,366","2,758","2,137","3,863",9.70%,35.0,39.0,42.0
252,"Genesee County, Michigan","151,813",639,"6,470","20,881","4,109","21,814","7,601","1,318","7,935","12,208","39,334","15,324","8,328","5,852",8.00%,"168,901",772,"9,461","27,953","3,952","22,772","7,254","1,902","8,820","14,197","41,510","16,005","9,200","5,103",9.90%,"173,534",936,"12,141","31,349","4,321","22,644","6,266","1,404","7,443","14,957","42,863","17,588","7,587","4,035",10.10%,38.0,40.0,43.0
253,"Ingham County, Michigan","127,740","1,500","4,354","12,674","1,788","13,882","4,290","3,447","8,149","10,860","38,559","12,654","6,133","9,450",4.90%,"136,629",871,"4,403","13,157","2,642","15,213","5,173","2,185","9,744","13,024","41,359","14,019","6,340","8,499",9.30%,"151,966",913,"6,293","12,363","2,752","15,484","6,342","2,147","12,263","13,297","44,689","15,099","8,500","11,824",11.20%,35.0,40.0,40.0
254,"Kalamazoo County, Michigan","114,209","1,497","3,825","20,035","3,336","14,024","3,581","1,019","6,904","9,616","30,520","12,717","4,782","2,353",4.80%,"130,471","1,027","4,798","21,167","2,661","13,842","3,517","1,459","7,953","12,220","38,297","14,646","4,872","4,012",9.00%,"135,583","1,622","6,962","23,613","3,615","14,084","3,275","1,657","8,031","11,890","34,398","15,575","7,196","3,665",14.10%,38.0,41.0,44.0
255,"Kent County, Michigan","277,457","2,494","13,628","48,529","12,263","32,505","9,398","5,422","18,012","28,967","62,440","23,825","13,908","6,066",5.10%,"323,479","4,135","15,134","61,598","13,051","39,269","12,136","4,980","18,125","31,728","70,505","29,427","16,417","6,974",7.80%,"345,415","3,762","20,222","68,229","13,982","34,510","14,334","3,169","20,005","34,456","78,336","32,244","16,511","5,655",8.90%,36.0,40.0,36.0
256,"Lenawee County, Michigan","42,432","1,157","1,692","7,156",517,"5,074","1,885",838,"1,661","2,599","11,396","3,626","3,133","1,698",7.00%,"41,947",771,"2,626","8,782",657,"4,709","1,451",490,"2,190","2,801","10,351","2,721","2,496","1,902",11.70%,"43,989","1,230","2,699","9,914",614,"4,985","1,255",519,"1,735","3,114","9,390","4,437","2,396","1,701",10.30%,39.0,42.0,44.0
257,"Macomb County, Michigan","368,730",433,"17,082","69,927","9,684","47,909","12,468","6,125","22,810","35,524","78,861","34,144","18,223","15,540",5.90%,"415,063",995,"22,998","87,836","10,766","48,026","15,452","4,970","24,914","39,605","86,192","39,956","19,337","14,016",9.30%,"437,770","1,557","27,602","90,898","11,574","49,386","19,105","4,993","23,786","40,303","91,183","41,661","20,506","15,216",9.60%,38.0,43.0,44.0
258,"Monroe County, Michigan","66,791",537,"3,346","13,004","2,386","7,473","4,303",529,"2,181","5,626","15,347","6,554","3,117","2,388",3.70%,"69,299","1,328","4,048","15,503","1,392","6,406","4,340",485,"2,197","5,697","16,748","6,086","3,166","1,903",8.20%,"70,166","1,082","5,034","14,995",832,"6,905","5,866",662,"2,706","4,342","15,914","6,200","3,336","2,292",12.30%,16.0,33.0,35.0
259,"Muskegon County, Michigan","67,493","2,477","2,862","14,111","1,384","8,172","2,237",713,"1,819","4,179","15,629","6,518","4,345","3,047",5.10%,"72,983",539,"4,118","19,560","1,487","8,715","1,676","1,055","1,746","5,141","15,659","7,363","3,338","2,586",13.00%,"76,075",809,"3,421","22,067","1,649","7,710","3,260",462,"2,807","4,941","14,822","8,394","3,359","2,374",10.90%,38.0,42.0,41.0
260,"Oakland County, Michigan","557,752","1,084","22,054","90,859","15,869","58,528","15,989","11,829","44,975","74,339","134,944","46,696","24,601","15,985",5.10%,"626,676","1,645","27,037","113,156","16,915","61,867","18,462","13,009","45,262","88,446","142,585","57,367","24,303","16,622",9.40%,"656,765","2,216","28,576","124,835","14,037","60,569","20,628","9,820","52,022","96,413","142,630","58,350","28,837","17,832",11.80%,38.0,41.0,43.0
261,"Ottawa County, Michigan","124,574","2,036","6,783","26,705","3,844","14,719","4,926","1,622","5,984","9,360","28,991","10,755","5,608","3,241",5.70%,"141,505","1,642","7,200","35,879","5,084","14,982","4,762","1,827","6,692","10,991","29,284","12,384","7,186","3,592",9.50%,"154,414","2,015","8,997","37,567","4,605","15,578","6,070","1,342","6,011","12,388","37,187","13,666","6,971","2,017",10.00%,35.0,42.0,42.0
263,"St. Clair County, Michigan","65,647",601,"3,662","12,977",742,"8,561","2,767",902,"2,784","4,158","15,474","6,853","3,368","2,798",4.00%,"71,745",608,"5,551","15,618","1,344","7,681","4,469",902,"2,721","3,660","15,044","6,910","3,427","3,810",7.30%,"72,830",642,"5,562","15,178","1,322","7,210","3,679",908,"2,691","6,291","16,553","5,924","3,739","3,131",11.80%,37.0,40.0,40.0
264,"Washtenaw County, Michigan","167,616",545,"4,175","16,874","2,213","16,036","4,364","4,173","9,252","18,269","66,037","13,968","6,867","4,843",4.70%,"181,977","1,072","6,340","18,416","2,807","17,851","5,569","3,926","6,436","21,370","67,910","18,718","7,214","4,348",11.80%,"193,750",670,"6,847","23,267","2,254","15,900","5,494","3,462","7,962","22,517","73,988","19,349","8,319","3,721",11.10%,39.0,42.0,38.0
265,"Wayne County, Michigan","661,178","2,755","23,920","101,461","16,069","74,354","38,888","11,845","37,312","65,592","160,267","69,892","31,112","27,711",8.90%,"712,421","2,340","28,536","121,790","17,430","81,992","44,365","11,232","41,394","77,506","157,889","72,599","32,771","22,577",12.60%,"777,705","1,944","32,353","142,748","18,906","79,940","49,451","8,049","44,329","80,093","176,022","84,340","36,651","22,879",13.70%,53.0,52.0,50.0
266,"Anoka County, Minnesota","171,764",820,"12,175","27,706","5,384","22,603","9,337","2,483","11,737","15,376","39,744","11,708","7,380","5,311",4.60%,"187,249","1,132","13,011","28,397","4,796","19,391","10,256","3,353","15,806","17,242","44,684","13,453","9,324","6,404",9.40%,"196,729",957,"13,475","33,418","4,849","21,088","11,723","2,231","14,996","17,889","47,219","12,537","7,839","8,508",9.20%,37.0,37.0,45.0
267,"Dakota County, Minnesota","208,891","1,460","9,189","24,685","7,376","25,646","12,564","5,657","21,667","23,582","44,479","14,901","9,820","7,865",5.10%,"228,936","1,534","11,255","26,995","7,508","24,977","15,750","5,114","23,124","27,048","45,348","21,582","9,584","9,117",7.60%,"235,921","1,041","11,971","25,186","7,276","28,835","15,734","3,906","22,048","28,477","51,201","19,736","10,074","10,436",9.20%,28.0,31.0,37.0
268,"Hennepin County, Minnesota","598,728","2,916","22,073","72,536","18,964","72,999","20,918","13,225","56,623","80,546","142,415","53,372","25,501","16,640",4.20%,"681,944","2,656","28,112","78,494","20,505","75,309","24,180","13,336","67,544","101,632","162,184","62,521","30,214","15,257",10.80%,"709,821","3,503","27,901","84,580","21,826","80,199","26,879","12,739","69,683","108,156","167,151","59,475","29,965","17,764",11.50%,42.0,45.0,33.0
269,"Olmsted County, Minnesota","77,173",896,"3,278","7,023","1,398","7,387","2,087","1,529","2,483","5,230","33,838","6,132","3,366","2,526",5.90%,"79,896","1,762","3,184","7,134","1,316","8,129","2,459","1,524","2,685","5,968","35,455","5,110","3,347","1,823",9.10%,"86,582","1,248","3,620","6,989","1,240","7,247","2,895","1,765","2,451","6,785","38,245","7,068","4,640","2,389",14.10%,36.0,36.0,42.0
270,"Ramsey County, Minnesota","251,582","1,556","8,281","30,752","7,308","27,690","8,942","6,262","19,148","29,852","69,093","20,579","11,662","10,457",7.60%,"278,389",937,"10,581","34,371","8,313","29,059","10,363","5,781","21,435","31,363","77,856","24,845","12,937","10,548",9.30%,"285,045",792,"11,399","33,269","7,788","26,383","13,031","4,895","24,617","32,601","78,087","26,572","12,782","12,829",12.60%,30.0,33.0,38.0
271,"Scott County, Minnesota","69,958",631,"3,330","9,393","2,518","9,234","3,342","1,100","6,283","9,840","12,170","7,497","2,971","1,649",4.70%,"77,608",846,"6,342","11,481","3,031","8,594","4,077","1,291","6,292","7,184","15,384","7,563","3,938","1,585",8.80%,"85,697","1,579","5,712","11,843","3,628","7,404","4,597","1,693","7,172","10,352","18,822","7,400","3,588","1,907",9.10%,36.0,32.0,36.0
272,"Stearns County, Minnesota","78,767","2,653","5,237","11,109","2,539","8,909","3,633",873,"4,013","5,461","20,351","7,709","3,356","2,924",5.50%,"85,722","2,506","6,691","12,074","2,145","11,045","3,596","1,304","4,004","6,873","22,866","6,666","3,942","2,010",12.10%,"86,824","3,032","6,658","12,921","1,406","10,630","5,697",772,"4,278","4,984","22,819","7,343","3,753","2,531",9.10%,32.0,33.0,36.0
273,"Washington County, Minnesota","125,512",755,"5,843","17,379","2,936","14,608","5,446","3,530","14,726","11,540","27,563","10,059","4,781","6,346",3.70%,"133,637",557,"7,646","18,688","3,864","14,932","5,734","2,577","11,104","12,691","33,326","9,920","5,562","7,036",8.70%,"140,433",622,"7,942","18,869","4,392","14,714","6,224","3,187","11,264","16,616","35,216","10,245","6,120","5,022",10.30%,34.0,40.0,40.0
274,"Wright County, Minnesota","65,917","1,058","5,508","10,857","2,634","7,700","3,108",697,"4,292","4,903","15,279","4,722","3,073","2,086",5.10%,"70,261","1,601","7,653","11,069","2,692","6,893","3,472","1,472","6,557","6,746","12,992","3,327","3,568","2,219",12.70%,"76,090",723,"8,473","12,593","2,189","8,883","2,540","1,837","4,360","7,217","17,920","5,129","2,927","1,299",6.80%,34.0,32.0,41.0
275,"DeSoto County, Mississippi","75,804",485,"5,795","6,926","3,288","7,926","8,747",926,"3,129","5,232","15,225","10,559","3,868","3,698",6.60%,"83,395",696,"5,041","7,622","4,451","9,696","10,420",794,"5,946","7,518","15,926","8,973","3,420","2,892",11.10%,"92,703","1,366","4,196","10,412","4,723","8,631","14,073",507,"5,596","8,089","20,121","7,010","3,820","4,159",13.90%,39.0,39.0,46.0
277,"Harrison County, Mississippi","82,465",787,"5,699","5,115","1,305","9,428","3,678","1,905","4,807","5,979","17,022","15,745","4,477","6,518",5.50%,"80,369",868,"6,755","5,554","2,285","10,541","4,192","1,093","3,144","5,986","16,124","12,973","3,915","6,939",9.10%,"85,741",711,"5,727","6,395","1,521","10,144","4,193","1,234","3,339","7,799","20,211","14,378","4,798","5,291",11.10%,41.0,38.0,47.0
278,"Hinds County, Mississippi","103,265",943,"6,520","6,705","2,237","10,935","6,029","3,068","5,022","7,023","28,541","10,329","5,985","9,928",8.70%,"102,646",607,"5,396","7,690","1,979","10,658","6,406","2,503","3,673","10,625","29,041","10,835","4,835","8,398",8.90%,"102,825",456,"4,190","7,558","2,061","12,991","6,133","1,775","5,193","8,219","30,463","10,582","5,114","8,090",11.10%,44.0,45.0,46.0
