County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
"Matanuska-Susitna Borough, Alaska","45,652","1,957","5,430","1,328",721,"4,439","3,948",964,"1,840","3,792","12,041","2,852","3,066","3,274",,12.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.40%,43.30%,18.00%,25.20%,5.00%,9.80%,18.30%,50.90%,25.70%,58.30%,56.40%,27.00%,19.80%,44.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.50%,1.90%,0.20%,0.00%,0.00%,4.00%,5.70%,12.80%,12.00%,17.30%,24.90%,62.40%,37.50%,32.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,16.90%,2.80%,5.60%,6.30%,60.90%,49.90%,18.50%,22.70%,51.50%,7.40%,12.80%,5.70%,15.00%,8.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,18.00%,48.90%,70.90%,14.20%,11.20%,12.80%,16.90%,13.60%,2.50%,8.70%,1.90%,2.10%,23.50%,11.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.30%,3.20%,5.30%,54.40%,22.90%,23.60%,40.60%,0.00%,8.40%,8.30%,4.00%,2.80%,4.00%,3.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Apache County, Arizona",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,18.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cochise County, Arizona","44,200","1,612","2,376","2,346",404,"3,823","2,139",727,"2,010","6,733","9,018","3,579","2,100","7,333",,10.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.70%,33.50%,23.90%,13.80%,11.60%,4.30%,9.50%,32.00%,30.20%,55.90%,64.20%,10.10%,16.10%,39.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.80%,2.80%,0.00%,10.10%,0.00%,4.40%,0.00%,0.00%,0.00%,12.00%,23.60%,66.40%,38.70%,48.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.10%,0.00%,7.70%,13.30%,43.30%,65.80%,29.40%,12.20%,62.80%,27.30%,8.00%,20.90%,11.50%,8.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.60%,63.20%,65.90%,5.90%,0.00%,9.20%,10.30%,55.70%,4.20%,1.20%,2.90%,1.90%,15.90%,1.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.80%,0.60%,2.50%,57.00%,45.00%,16.30%,50.80%,0.00%,2.80%,3.70%,1.40%,0.80%,17.80%,2.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Coconino County, Arizona","68,508","1,122","2,443","3,767",493,"8,056","3,335",791,"1,639","4,960","22,041","13,249","2,277","4,335",,12.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,44.80%,58.70%,17.60%,48.50%,0.00%,13.70%,12.20%,65.70%,65.20%,63.90%,74.10%,17.60%,27.10%,51.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.20%,12.30%,0.00%,1.70%,0.00%,4.70%,2.50%,10.50%,3.20%,25.40%,15.40%,61.30%,31.20%,21.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.80%,6.20%,8.00%,8.80%,62.50%,60.10%,22.30%,7.60%,25.50%,7.70%,7.10%,14.30%,14.90%,24.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.00%,15.80%,68.30%,8.70%,0.00%,5.10%,13.20%,16.20%,2.20%,0.00%,0.60%,3.80%,11.60%,1.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.10%,7.00%,6.10%,32.30%,37.50%,16.40%,49.80%,0.00%,3.80%,3.10%,2.90%,3.10%,15.20%,1.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Maricopa County, Arizona","2,189,173","11,899","175,833","159,996","54,116","261,644","127,036","37,082","225,224","299,333","450,702","212,200","96,056","78,052",,15.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.70%,29.50%,20.90%,44.20%,19.90%,16.20%,15.40%,52.80%,52.10%,52.50%,66.00%,19.30%,18.80%,46.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.10%,3.60%,0.70%,1.80%,2.00%,4.20%,2.40%,7.90%,3.10%,20.10%,19.80%,63.20%,39.70%,30.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.10%,5.50%,7.00%,13.00%,49.00%,55.50%,24.10%,29.30%,42.20%,19.40%,11.40%,13.50%,12.70%,18.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.00%,54.80%,67.20%,5.80%,7.70%,3.90%,5.00%,8.50%,1.10%,4.20%,0.70%,0.60%,16.60%,3.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.00%,6.60%,4.30%,35.20%,21.40%,20.20%,53.00%,1.40%,1.40%,3.80%,2.20%,3.40%,12.30%,1.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Mohave County, Arizona","76,213",876,"6,761","4,121","1,450","11,646","4,759",982,"3,918","5,972","14,669","13,826","3,495","3,738",,14.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,24.70%,15.80%,11.80%,20.60%,9.70%,10.30%,8.80%,50.10%,28.90%,36.30%,61.50%,6.70%,23.70%,19.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,25.00%,0.00%,0.00%,0.40%,0.00%,7.60%,8.10%,0.00%,10.80%,21.80%,22.70%,70.50%,39.60%,42.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.90%,7.60%,10.40%,15.90%,51.70%,55.60%,15.70%,19.20%,48.50%,26.50%,13.80%,18.50%,12.40%,23.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.30%,37.10%,72.00%,9.00%,0.00%,6.70%,8.20%,14.10%,1.10%,4.60%,1.00%,1.70%,3.40%,5.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.00%,39.50%,5.70%,54.10%,38.70%,19.70%,59.30%,16.60%,10.70%,10.80%,1.00%,2.70%,20.90%,8.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Navajo County, Arizona","34,754","1,079","2,523","1,179",136,"4,805","1,831",498,897,"1,807","10,753","4,712","1,609","2,925",,8.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.10%,54.00%,22.00%,18.30%,0.00%,4.50%,9.90%,22.70%,38.40%,24.90%,55.00%,7.80%,33.40%,33.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.20%,5.90%,0.00%,0.00%,0.00%,1.00%,6.90%,0.00%,5.40%,31.80%,22.40%,67.40%,27.40%,27.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.60%,12.10%,10.90%,1.40%,100.00%,69.60%,11.30%,22.30%,41.10%,28.50%,13.10%,15.20%,22.70%,32.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.90%,24.10%,65.50%,11.60%,0.00%,6.50%,19.20%,55.00%,15.20%,11.60%,2.00%,5.90%,10.70%,5.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.20%,3.80%,1.60%,68.70%,0.00%,18.50%,52.70%,0.00%,0.00%,3.20%,7.50%,3.70%,5.80%,0.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Pima County, Arizona","464,801","5,177","29,415","33,611","7,481","52,426","21,275","6,948","28,898","57,052","122,668","53,604","23,688","22,558",,14.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.10%,45.90%,18.90%,53.00%,17.40%,13.10%,17.20%,57.40%,35.70%,44.30%,63.50%,17.70%,18.80%,35.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.40%,1.30%,0.10%,0.70%,0.60%,4.50%,2.20%,1.80%,3.40%,22.10%,23.70%,62.40%,43.90%,41.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.50%,9.80%,5.10%,9.10%,56.30%,59.30%,23.20%,18.10%,55.00%,27.50%,10.40%,13.50%,12.80%,14.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.40%,33.70%,73.10%,5.80%,3.80%,3.30%,11.20%,22.20%,3.20%,3.00%,0.30%,1.90%,11.30%,4.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.70%,9.30%,2.80%,31.30%,21.90%,19.80%,46.20%,0.40%,2.70%,3.00%,2.10%,4.50%,13.10%,3.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Pinal County, Arizona","178,921","4,666","15,154","15,497","4,765","20,740","10,402","2,422","15,200","18,939","34,377","14,673","8,210","13,876",,22.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.50%,21.00%,19.20%,27.90%,20.60%,9.80%,9.40%,45.00%,43.80%,35.50%,54.90%,19.30%,28.00%,27.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.90%,5.30%,1.00%,3.10%,0.00%,2.40%,0.80%,10.50%,1.90%,30.50%,26.10%,67.00%,29.30%,47.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.20%,0.50%,12.20%,12.30%,51.00%,57.20%,16.70%,31.60%,48.20%,22.20%,12.90%,8.20%,9.70%,21.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.40%,69.80%,63.90%,15.20%,0.00%,5.30%,15.60%,4.90%,4.80%,3.50%,2.30%,2.50%,16.00%,1.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.00%,3.40%,3.80%,41.50%,28.40%,25.20%,57.50%,8.00%,1.30%,8.30%,3.80%,2.90%,17.00%,1.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Yavapai County, Arizona","93,799","2,613","9,847","5,168","1,034","11,902","3,319",924,"4,521","8,823","22,592","11,267","7,429","4,360",,10.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.10%,49.20%,12.80%,44.30%,18.50%,14.60%,21.50%,46.00%,40.60%,42.80%,59.30%,17.70%,37.80%,27.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,23.80%,6.60%,2.10%,0.00%,8.20%,6.40%,4.80%,0.00%,12.50%,20.70%,23.00%,70.40%,42.80%,52.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.50%,0.00%,10.00%,6.90%,36.60%,57.50%,17.30%,40.40%,45.90%,18.50%,12.70%,10.30%,3.90%,16.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.20%,21.90%,75.00%,7.10%,15.60%,0.70%,3.20%,5.40%,0.00%,12.70%,2.20%,0.70%,14.40%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.40%,22.30%,0.00%,41.70%,21.20%,20.80%,53.40%,8.20%,1.00%,5.20%,2.80%,1.00%,1.10%,4.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Yuma County, Arizona","74,056","8,665","2,980","4,838","3,745","7,619","4,089",875,"3,353","6,600","12,547","7,757","3,162","7,826",,10.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,26.60%,11.30%,10.30%,15.70%,4.30%,12.40%,4.50%,52.70%,42.20%,35.20%,58.80%,18.40%,18.50%,35.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.40%,0.50%,0.00%,0.00%,2.20%,3.20%,0.00%,16.60%,6.70%,13.50%,23.00%,66.00%,41.40%,24.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.30%,3.70%,19.70%,7.00%,36.80%,64.10%,20.60%,30.70%,51.10%,24.50%,13.10%,11.70%,17.00%,28.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,15.50%,75.30%,66.40%,0.00%,13.10%,5.70%,7.00%,0.00%,0.00%,6.40%,2.40%,0.90%,14.00%,6.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.20%,9.30%,3.60%,77.30%,43.70%,14.50%,67.90%,0.00%,0.00%,20.40%,2.70%,2.90%,9.00%,4.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Benton County, Arkansas","135,458","2,759","10,955","17,139","4,934","29,347","8,001","1,046","4,946","12,459","23,494","10,918","7,112","2,348",,8.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.70%,50.80%,21.90%,19.00%,33.40%,31.90%,38.40%,49.40%,49.70%,63.60%,68.20%,22.90%,33.10%,34.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.30%,2.30%,0.00%,0.30%,0.70%,3.10%,5.40%,18.90%,1.40%,9.50%,18.90%,65.30%,33.80%,49.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.10%,1.80%,6.60%,15.00%,53.60%,45.00%,20.10%,15.50%,46.10%,18.70%,8.90%,6.80%,15.90%,15.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.30%,41.10%,68.50%,4.60%,0.00%,4.60%,8.90%,9.00%,2.80%,0.60%,0.60%,0.20%,10.10%,0.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.50%,4.10%,2.90%,61.00%,12.30%,15.40%,27.20%,7.20%,0.00%,7.70%,3.40%,4.70%,7.10%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Craighead County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Faulkner County, Arkansas","61,283","1,193","4,704","4,957","1,095","9,445","2,690","1,338","3,133","5,246","16,034","6,480","2,475","2,493",,7.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.40%,56.90%,25.40%,25.40%,12.10%,14.40%,10.50%,67.90%,69.40%,44.60%,68.80%,16.00%,30.90%,41.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.40%,0.00%,0.00%,0.50%,0.00%,2.10%,0.00%,0.00%,0.00%,26.80%,18.40%,61.90%,25.20%,33.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.00%,3.40%,14.50%,5.60%,47.40%,53.40%,17.40%,27.70%,22.70%,17.50%,11.00%,10.60%,14.90%,17.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.40%,13.90%,58.10%,2.00%,3.70%,9.90%,34.70%,2.10%,0.00%,0.60%,0.50%,3.60%,16.90%,2.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.70%,25.80%,2.00%,66.50%,36.80%,20.20%,37.40%,2.40%,7.90%,10.50%,1.40%,7.90%,12.10%,5.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Garland County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Jefferson County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,16.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lonoke County, Arkansas","34,654","1,341","3,537","2,060","1,391","4,730","3,192",652,"2,986","2,111","7,473","1,566","1,278","2,337",,11.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.90%,40.30%,30.10%,25.30%,16.50%,13.40%,10.20%,56.60%,41.70%,57.20%,65.40%,15.70%,29.00%,18.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.00%,0.00%,0.00%,1.00%,0.00%,1.90%,0.00%,0.00%,5.70%,9.30%,26.30%,77.50%,21.50%,39.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.30%,2.30%,0.70%,7.10%,56.30%,62.50%,16.60%,32.40%,50.10%,16.90%,8.00%,6.80%,15.60%,27.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.50%,30.60%,68.20%,11.80%,0.00%,2.10%,21.90%,11.00%,2.40%,13.20%,0.00%,0.00%,16.00%,7.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.40%,26.70%,1.00%,54.80%,27.20%,20.10%,51.30%,0.00%,0.00%,3.50%,0.30%,0.00%,17.80%,7.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Pulaski County, Arkansas","182,913",845,"10,598","12,653","5,076","21,606","9,602","3,411","12,749","20,972","47,913","16,724","9,164","11,600",,11.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.30%,36.00%,15.30%,21.90%,22.20%,15.00%,19.70%,51.70%,45.20%,49.30%,61.40%,17.50%,28.30%,54.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.10%,0.00%,0.50%,0.70%,2.00%,4.70%,0.60%,5.00%,0.70%,21.50%,20.80%,57.80%,34.10%,21.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.80%,30.70%,7.80%,8.90%,54.90%,52.90%,28.80%,22.10%,49.00%,19.90%,12.90%,18.50%,15.70%,20.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.70%,25.60%,69.70%,8.00%,0.80%,3.80%,5.50%,14.00%,0.90%,2.30%,0.30%,0.90%,7.10%,2.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.10%,7.80%,6.70%,60.40%,20.10%,23.60%,45.40%,7.20%,4.10%,7.00%,4.60%,5.30%,14.90%,1.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Saline County, Arkansas","58,546",918,"5,558","4,771","1,500","8,380","3,505","1,626","2,606","4,637","15,221","2,965","2,195","4,664",,10.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,36.10%,75.10%,20.00%,11.20%,6.70%,12.40%,19.50%,59.70%,60.70%,42.40%,66.50%,10.80%,27.80%,30.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.00%,0.00%,0.00%,5.30%,0.00%,1.40%,0.00%,0.00%,0.00%,23.20%,21.10%,46.20%,34.40%,18.10%,,(X)
