County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
        Estimate,30.50%,17.30%,6.80%,20.50%,51.90%,63.60%,33.40%,53.00%,68.00%,17.20%,9.50%,18.90%,13.90%,13.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,14.00%,69.30%,78.00%,9.80%,6.50%,11.30%,7.40%,17.20%,2.60%,9.40%,1.40%,1.30%,14.40%,1.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.10%,0.00%,1.70%,57.20%,41.60%,9.80%,45.70%,0.00%,0.00%,1.30%,1.30%,5.40%,6.00%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Citrus County, Florida","44,459",957,"3,743","2,058",734,"5,511","3,557",373,"2,472","5,014","12,056","4,848","2,200",936,,11.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.60%,8.00%,16.30%,15.10%,4.60%,10.60%,20.70%,41.30%,33.70%,33.10%,60.10%,24.70%,2.90%,12.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.10%,16.20%,0.00%,0.00%,0.00%,4.90%,0.80%,0.00%,3.90%,39.60%,24.10%,63.40%,44.50%,34.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.40%,0.00%,9.20%,23.50%,29.00%,66.70%,29.80%,26.00%,51.30%,25.50%,10.40%,3.60%,6.90%,44.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.80%,68.50%,72.80%,16.50%,27.10%,4.10%,10.80%,32.70%,0.00%,0.00%,1.90%,2.20%,28.30%,8.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.10%,7.20%,1.70%,44.90%,39.20%,13.80%,37.90%,0.00%,11.10%,1.80%,3.60%,6.00%,17.50%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Clay County, Florida","87,895",280,"8,094","5,857","3,945","11,104","6,191","1,755","6,451","10,124","17,793","6,212","4,518","5,571",,13.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.10%,0.00%,22.60%,34.50%,14.80%,13.10%,24.40%,30.00%,38.70%,44.40%,47.00%,16.20%,17.80%,39.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.50%,20.70%,0.00%,1.70%,0.00%,5.00%,0.00%,8.00%,4.50%,22.00%,30.90%,64.60%,37.30%,30.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.80%,0.00%,15.90%,17.60%,74.20%,60.60%,19.40%,3.90%,51.90%,23.00%,15.20%,7.60%,7.30%,20.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.80%,79.30%,58.60%,7.00%,0.60%,1.30%,8.80%,58.10%,1.80%,6.20%,1.70%,7.70%,29.00%,8.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.70%,0.00%,2.90%,39.20%,10.40%,20.00%,47.50%,0.00%,3.10%,4.40%,5.00%,3.90%,8.60%,0.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Collier County, Florida","151,828","5,898","16,411","7,023","3,390","19,889","7,046","2,616","11,473","19,207","21,543","24,260","9,519","3,553",,10.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.10%,8.60%,24.50%,29.50%,30.90%,13.50%,15.50%,45.90%,38.50%,50.30%,65.50%,15.20%,14.90%,38.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,23.30%,7.70%,0.20%,0.00%,0.00%,4.00%,3.30%,6.70%,6.70%,28.70%,22.10%,69.90%,45.50%,35.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.60%,1.30%,4.90%,25.60%,54.30%,69.70%,16.30%,38.00%,49.50%,12.00%,11.50%,9.70%,18.00%,22.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.70%,78.30%,67.90%,3.10%,3.30%,1.90%,2.60%,5.70%,2.30%,5.90%,0.00%,1.20%,8.20%,1.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.30%,4.10%,2.50%,41.70%,11.40%,10.90%,62.20%,3.70%,3.00%,3.00%,0.90%,3.90%,13.30%,3.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Columbia County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,15.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Duval County, Florida","433,627","2,490","22,724","28,996","12,007","53,268","28,445","7,525","50,783","52,501","90,397","44,835","20,497","19,159",,18.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,36.70%,39.80%,13.80%,32.00%,23.70%,12.40%,16.30%,56.00%,48.40%,43.40%,65.90%,15.00%,24.80%,45.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.20%,3.10%,1.30%,2.40%,0.00%,4.80%,2.60%,1.60%,1.70%,20.80%,18.80%,64.80%,38.00%,24.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,28.00%,0.00%,8.90%,14.80%,59.60%,65.90%,24.10%,33.90%,46.90%,25.80%,14.40%,14.90%,14.10%,18.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.70%,53.90%,73.90%,10.80%,4.10%,4.30%,8.20%,7.40%,1.30%,3.20%,0.20%,1.20%,9.70%,8.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.30%,3.10%,2.20%,40.00%,12.60%,12.60%,48.90%,1.00%,1.70%,6.80%,0.70%,4.10%,13.40%,3.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Escambia County, Florida","136,849","1,495","6,983","5,314","2,993","22,518","6,538","1,799","12,391","16,343","28,084","16,731","7,874","7,786",,10.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.60%,30.00%,12.60%,26.80%,17.80%,5.40%,10.40%,50.50%,34.30%,45.70%,59.80%,14.40%,20.60%,41.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.60%,0.00%,0.00%,1.40%,0.00%,8.60%,3.50%,2.80%,3.20%,27.30%,22.90%,71.00%,40.10%,29.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,28.40%,0.00%,5.50%,19.60%,47.30%,76.70%,7.30%,21.60%,59.20%,18.70%,13.40%,11.10%,9.90%,14.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.00%,57.80%,79.90%,8.10%,4.00%,0.20%,3.30%,22.30%,1.50%,2.00%,1.50%,1.70%,14.10%,11.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.40%,12.20%,2.00%,44.00%,30.80%,8.90%,75.50%,2.80%,1.70%,6.20%,2.40%,1.80%,15.30%,3.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Flagler County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,18.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Hernando County, Florida","63,558","1,056","4,129","3,380","1,673","9,958","3,242",791,"4,671","6,343","12,731","7,823","4,285","3,476",,12.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.40%,56.90%,11.60%,31.00%,25.90%,8.30%,12.80%,60.30%,41.00%,26.50%,62.10%,26.10%,7.90%,15.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.10%,0.00%,1.10%,2.60%,0.00%,4.60%,3.90%,0.00%,6.60%,28.80%,21.10%,53.80%,39.90%,55.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,29.00%,0.00%,11.90%,18.50%,35.30%,70.30%,31.80%,20.90%,50.90%,27.20%,13.80%,11.30%,20.70%,26.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.30%,29.40%,69.20%,9.10%,31.90%,6.80%,12.20%,5.20%,0.00%,7.30%,1.90%,2.80%,11.40%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.20%,13.70%,6.20%,38.80%,6.90%,10.00%,39.40%,13.70%,1.60%,10.10%,1.10%,6.00%,20.20%,1.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Highlands County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Hillsborough County, Florida","637,791","8,969","46,498","30,513","19,014","70,929","30,974","14,913","67,140","92,336","141,646","62,531","26,917","25,411",,11.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.20%,12.40%,17.70%,35.20%,18.10%,12.80%,13.80%,56.50%,45.40%,52.00%,65.70%,17.50%,21.70%,38.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.50%,0.00%,0.70%,2.00%,0.00%,3.50%,3.40%,2.70%,1.60%,22.00%,18.30%,65.30%,38.10%,32.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.20%,2.90%,7.00%,17.30%,57.00%,68.40%,28.70%,31.10%,50.20%,20.90%,13.50%,15.00%,16.60%,23.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.20%,70.60%,71.60%,6.30%,6.20%,3.60%,7.20%,7.10%,1.80%,2.10%,1.30%,0.70%,14.20%,2.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.00%,14.00%,3.10%,39.20%,18.70%,11.70%,46.90%,2.60%,1.00%,3.00%,1.20%,1.60%,9.40%,2.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Indian River County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lake County, Florida","129,511","1,474","9,361","7,753","2,724","15,653","5,308","1,298","9,889","13,841","29,065","21,783","4,746","6,616",,12.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.80%,27.90%,21.70%,32.10%,5.40%,8.20%,9.40%,42.40%,39.70%,41.40%,64.30%,25.70%,22.40%,39.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.10%,0.00%,0.00%,1.20%,0.00%,3.10%,3.80%,0.00%,5.90%,26.50%,20.00%,51.10%,24.80%,44.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.90%,10.70%,13.70%,13.00%,54.40%,77.90%,38.10%,41.40%,51.50%,21.80%,12.10%,17.20%,25.70%,11.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.50%,58.80%,62.00%,6.80%,3.20%,4.30%,4.70%,12.80%,2.10%,7.70%,1.00%,0.60%,13.30%,4.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.80%,2.60%,2.60%,46.80%,37.10%,6.50%,44.00%,3.40%,0.90%,2.50%,2.60%,5.50%,13.80%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lee County, Florida","277,323","2,496","31,198","11,454","5,469","45,736","9,959","5,171","20,866","36,685","52,707","33,454","13,908","8,220",,11.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.00%,19.20%,12.20%,37.90%,12.70%,8.40%,9.70%,50.80%,34.50%,34.60%,61.90%,16.10%,19.10%,38.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.70%,17.30%,1.30%,0.50%,0.00%,2.60%,5.80%,2.80%,3.80%,34.40%,23.10%,67.80%,39.60%,43.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,28.30%,1.90%,9.30%,9.60%,50.30%,75.60%,23.10%,29.70%,57.40%,19.90%,12.40%,12.50%,14.80%,15.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.00%,52.50%,74.80%,7.20%,10.20%,3.80%,5.40%,14.80%,2.30%,4.50%,0.80%,0.40%,9.70%,3.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.00%,9.20%,2.40%,44.90%,26.80%,9.60%,56.00%,1.90%,2.00%,6.60%,1.90%,3.20%,16.80%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Leon County, Florida","142,062",432,"4,247","1,828","2,516","17,474","5,059","2,053","8,910","15,955","39,683","19,359","6,520","18,026",,24.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,43.30%,11.80%,13.10%,46.00%,28.80%,8.10%,15.50%,58.80%,42.60%,51.20%,69.10%,20.30%,23.30%,61.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.40%,6.90%,0.00%,0.00%,0.00%,12.70%,1.20%,0.00%,4.10%,21.60%,11.60%,61.90%,38.20%,12.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,28.20%,0.00%,3.20%,33.20%,58.00%,73.50%,25.80%,40.00%,46.90%,19.20%,17.40%,15.40%,26.20%,22.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,4.70%,81.30%,79.80%,4.60%,0.00%,2.30%,10.20%,1.20%,2.40%,2.50%,1.10%,0.00%,7.90%,1.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,4.40%,0.00%,3.90%,16.20%,13.20%,3.50%,47.30%,0.00%,4.00%,5.50%,0.70%,2.30%,4.50%,1.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Manatee County, Florida","148,415","1,283","13,676","10,821","4,291","21,196","5,318","1,544","9,429","17,108","29,936","19,731","8,142","5,940",,14.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.80%,18.50%,15.40%,29.50%,28.20%,7.90%,19.10%,33.40%,47.70%,38.00%,67.50%,11.50%,19.70%,37.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.90%,11.80%,0.00%,0.50%,0.00%,3.90%,3.10%,11.10%,2.10%,35.70%,19.20%,75.40%,31.40%,26.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.40%,6.50%,9.50%,11.50%,50.40%,72.40%,24.00%,48.10%,46.90%,18.70%,12.20%,10.90%,19.60%,33.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.00%,63.30%,71.30%,7.10%,2.70%,2.80%,8.40%,7.40%,1.60%,3.40%,0.40%,0.60%,15.50%,1.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.90%,0.00%,3.80%,51.50%,18.70%,13.10%,45.40%,0.00%,1.60%,4.10%,0.70%,1.50%,13.80%,2.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Marion County, Florida","111,085","2,900","7,522","7,431","2,874","18,650","4,930","1,603","6,864","10,600","27,039","11,517","4,897","4,258",,14.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.30%,20.80%,23.00%,12.30%,19.60%,7.70%,10.60%,54.30%,26.00%,36.60%,57.70%,15.90%,14.60%,21.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.60%,19.70%,0.00%,1.80%,0.00%,3.90%,0.80%,4.20%,10.10%,32.40%,23.60%,74.10%,48.10%,50.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.10%,0.80%,7.00%,11.90%,54.10%,68.50%,15.50%,28.90%,59.60%,21.60%,16.50%,9.70%,6.30%,20.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.70%,58.70%,67.20%,9.00%,6.10%,4.80%,7.20%,12.50%,1.20%,2.40%,0.30%,0.00%,19.40%,6.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.40%,0.00%,2.80%,65.00%,20.20%,15.10%,65.90%,0.00%,3.10%,7.00%,1.90%,0.30%,11.60%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Martin County, Florida","65,588",887,"6,965","3,367","1,500","6,863","2,515",938,"5,241","10,481","11,733","9,735","3,143","2,220",,18.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.10%,6.80%,21.60%,35.60%,19.30%,15.70%,31.60%,45.20%,39.80%,53.40%,62.20%,16.00%,22.50%,19.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,23.70%,48.50%,0.00%,0.00%,5.70%,2.10%,0.00%,0.00%,9.00%,20.00%,21.30%,73.30%,45.20%,57.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.10%,9.60%,7.60%,19.50%,62.70%,67.70%,38.40%,36.90%,48.70%,19.40%,12.60%,9.20%,5.60%,23.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.70%,35.20%,65.10%,2.30%,6.90%,0.80%,3.50%,17.90%,2.60%,4.10%,0.00%,0.00%,15.40%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,7.30%,0.00%,5.70%,42.60%,5.50%,13.80%,26.60%,0.00%,0.00%,3.10%,3.90%,1.50%,11.30%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Miami-Dade County, Florida","1,261,863","9,989","98,439","54,408","46,992","149,400","94,244","26,607","97,510","157,942","249,083","151,944","82,364","42,941",,10.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.70%,24.00%,15.80%,30.90%,23.60%,8.60%,16.90%,59.60%,37.40%,46.90%,59.40%,17.30%,10.40%,38.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.10%,7.90%,0.50%,1.50%,1.70%,4.70%,2.70%,3.40%,6.40%,26.50%,21.90%,63.70%,48.10%,32.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.50%,7.10%,4.70%,18.30%,54.70%,74.70%,27.00%,25.00%,53.40%,20.00%,15.60%,14.00%,11.60%,21.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.70%,55.00%,75.80%,6.70%,3.50%,2.40%,6.10%,8.80%,1.20%,2.90%,0.60%,0.90%,17.20%,4.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.00%,5.90%,3.10%,42.50%,16.40%,9.60%,47.30%,3.20%,1.50%,3.70%,2.50%,4.10%,12.80%,3.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Monroe County, Florida","40,778","1,113","2,942","1,325","1,020","5,068","2,491",624,"2,757","2,920","6,077","9,725","1,519","3,197",,12.20%
