County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
        Estimate,10.70%,86.10%,36.70%,5.70%,13.30%,0.00%,3.20%,49.70%,0.00%,2.70%,2.20%,0.00%,50.30%,2.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.30%,0.00%,12.30%,54.00%,14.20%,12.40%,64.00%,0.00%,0.00%,11.70%,1.90%,6.30%,0.00%,2.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Shelby County, Alabama","102,381","1,008","6,062","8,467","3,677","11,811","6,704","2,183","10,766","14,113","20,882","7,630","5,245","3,833",,12.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,42.90%,37.60%,22.10%,26.60%,24.00%,16.30%,38.60%,65.60%,47.80%,64.70%,67.50%,16.50%,35.40%,43.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.50%,0.00%,0.00%,2.60%,0.00%,2.10%,1.20%,0.00%,3.70%,12.10%,12.00%,70.60%,26.20%,49.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.00%,3.90%,6.90%,20.50%,66.70%,68.40%,21.50%,28.80%,44.70%,17.70%,17.50%,9.50%,20.60%,3.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.40%,52.60%,67.40%,9.40%,1.90%,4.50%,5.50%,3.40%,0.70%,1.00%,1.10%,0.30%,11.70%,1.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.10%,6.00%,3.60%,40.90%,7.40%,8.70%,33.20%,2.20%,3.10%,4.60%,2.00%,3.10%,6.10%,2.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Talladega County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Tuscaloosa County, Alabama","86,538",899,"4,906","14,531","1,669","9,275","3,988","1,807","3,622","5,862","25,683","7,008","4,108","3,180",,14.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.50%,27.40%,21.70%,15.30%,15.30%,8.10%,32.50%,47.20%,40.50%,50.90%,63.50%,19.00%,26.60%,27.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.10%,5.30%,0.00%,2.90%,2.90%,3.30%,0.00%,6.30%,3.50%,9.90%,16.20%,50.40%,28.70%,53.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.50%,0.00%,8.60%,9.50%,19.20%,71.90%,15.40%,37.90%,51.40%,25.30%,13.80%,19.60%,15.30%,13.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.70%,58.40%,63.40%,2.90%,7.10%,2.60%,5.60%,8.60%,4.60%,2.40%,3.70%,0.00%,12.40%,2.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.20%,8.90%,6.20%,69.30%,55.40%,14.10%,46.40%,0.00%,0.00%,11.50%,2.80%,11.00%,17.00%,2.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Walker County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
